ID,Nombre,Región,Provincia,Comuna,Edad,Instrumentos,Link,Lugar específico,Instructores,Elenco, 
FOJI_A001,Camerata De Cuerdas Arcos De San Ignacio,Región de Ñuble,Provincia de Diguillín,San Ignacio,Juvenil - Infantil,,https://www.instagram.com/accounts/edit/?hl=es-la,"Región de Ñuble - Provincia de Diguillín - San Ignacio , San Ignacio, Sector Pueblo Seco",4,12, 
FOJI_A002,Camerata de Cuerdas Los Andes,Región de Valparaíso,Provincia de Los Andes,Los Andes,Juvenil - Infantil,, ,"Región de Valparaíso - Provincia de Los Andes - Los Andes , Valparaíso",,, 
FOJI_A003,Camerata del Maipo,Región Metropolitana,Provincia de Maipo,Paine,Juvenil,, ,"Región Metropolitana - Provincia de Maipo - Paine , Santiago",,, 
FOJI_A004,Camerata Osorno,Región de los Lagos,Provincia de Osorno,Osorno,Juvenil,Cuerdas, ,Región de los Lagos - Provincia de Osorno - Osorno, ,13, 
FOJI_A005,Colegio madre Cecilia Lazzeri,Región Metropolitana,Provincia de Santiago,La Cisterna,Juvenil - Infantil,"Cuerdas, Maderas, Percusión", ,"Región Metropolitana - Provincia de Santiago - La Cisterna , Santiago", , , 
FOJI_A006,Colegio Sagrada Familia,Región de Aisén del Gral. Carlos Ibáñez del Campo,Provincia de Aisén,Aisén,Infantil,, ,"Región de Aisén del Gral. Carlos Ibáñez del Campo - Provincia de Aisén - Aisén , Puerto Aysén",1,20, 
FOJI_A007,Ensamble de Cuerdas Frotadas de la Escuela Popular de Arte,Región de Valparaíso,Provincia de Valparaíso,Viña del Mar,Juvenil - Infantil,, ,"Región de Valparaíso - Provincia de Valparaíso - Viña del Mar , Viña de Mar", , , 
FOJI_A008,Ensamble de Viento y Percusión Los Andes,Región de Valparaíso,Provincia de Los Andes,Los Andes,Juvenil - Infantil,, ,"Región de Valparaíso - Provincia de Los Andes - Los Andes , Valparaíso", , , 
FOJI_A009,Ensamble de Viento y Percusión Til Til,Región Metropolitana,Provincia de Chacabuco,Tiltil,Juvenil - Infantil,, ,"Región Metropolitana - Provincia de Chacabuco - Tiltil , santiago", , , 
FOJI_A010,Ensamble escolar Gabriela Mistral,Región de Valparaíso,Provincia de Marga Marga,Quilpué,Infantil,, ,Región de Valparaíso - Provincia de Marga Marga - Quilpué, , , 
